5/9/2021 5:00:35 PM  Counts:902000
1419.689156250  0.057454660
1419.691500000  0.057679431
1419.693843750  0.057392564
1419.696187500  0.057347639
1419.698531250  0.057321498
1419.700875000  0.057322060
1419.703218750  0.057411424
1419.705562500  0.057427453
1419.707906250  0.057575168
1419.710250000  0.059263934
1419.712593750  0.057536142
1419.714937500  0.057519748
1419.717281250  0.057548302
1419.719625000  0.057511517
1419.721968750  0.057663136
1419.724312500  0.057649017
1419.726656250  0.057478274
1419.729000000  0.057478253
1419.731343750  0.057424355
1419.733687500  0.057433212
1419.736031250  0.057509901
1419.738375000  0.057509266
1419.740718750  0.057567460
1419.743062500  0.057545504
1419.745406250  0.057697402
1419.747750000  0.057650641
1419.750093750  0.057668814
1419.752437500  0.057706427
1419.754781250  0.057697337
1419.757125000  0.057800447
1419.759468750  0.057686513
1419.761812500  0.057673974
1419.764156250  0.057746091
1419.766500000  0.057711910
1419.768843750  0.057743979
1419.771187500  0.058021288
1419.773531250  0.058805544
1419.775875000  0.058038487
1419.778218750  0.058024877
1419.780562500  0.057967680
1419.782906250  0.058089184
1419.785250000  0.058126044
1419.787593750  0.058078017
1419.789937500  0.058026062
1419.792281250  0.058028922
1419.794625000  0.058050580
1419.796968750  0.058100382
1419.799312500  0.058135629
1419.801656250  0.058270882
1419.804000000  0.061147501
1419.806343750  0.058446927
1419.808687500  0.058277933
1419.811031250  0.058238872
1419.813375000  0.058319564
1419.815718750  0.058406877
1419.818062500  0.058739151
1419.820406250  0.058472431
1419.822750000  0.058669702
1419.825093750  0.058362736
1419.827437500  0.058505804
1419.829781250  0.058639426
1419.832125000  0.058580172
1419.834468750  0.059290999
1419.836812500  0.059176258
1419.839156250  0.058829965
1419.841500000  0.058758474
1419.843843750  0.058781632
1419.846187500  0.058865905
1419.848531250  0.058997136
1419.850875000  0.059020819
1419.853218750  0.058992384
1419.855562500  0.058954104
1419.857906250  0.058868621
1419.860250000  0.059056817
1419.862593750  0.059043035
1419.864937500  0.059068557
1419.867281250  0.059291053
1419.869625000  0.059110528
1419.871968750  0.059269757
1419.874312500  0.059174808
1419.876656250  0.059322937
1419.879000000  0.059281846
1419.881343750  0.059414169
1419.883687500  0.059424798
1419.886031250  0.059374633
1419.888375000  0.059468276
1419.890718750  0.059576473
1419.893062500  0.059626617
1419.895406250  0.059628230
1419.897750000  0.061549307
1419.900093750  0.059903882
1419.902437500  0.059728117
1419.904781250  0.059747865
1419.907125000  0.059780472
1419.909468750  0.059919526
1419.911812500  0.060188196
1419.914156250  0.060092911
1419.916500000  0.060016428
1419.918843750  0.060032872
1419.921187500  0.060188187
1419.923531250  0.060122633
1419.925875000  0.060159310
1419.928218750  0.060903625
1419.930562500  0.061858559
1419.932906250  0.060346005
1419.935250000  0.060237142
1419.937593750  0.060373307
1419.939937500  0.060418479
1419.942281250  0.060647687
1419.944625000  0.060537525
1419.946968750  0.060503587
1419.949312500  0.060526205
1419.951656250  0.060551072
1419.954000000  0.060555746
1419.956343750  0.060559500
1419.958687500  0.060737233
1419.961031250  0.060942411
1419.963375000  0.060633393
1419.965718750  0.060720446
1419.968062500  0.060767089
1419.970406250  0.060782295
1419.972750000  0.060898898
1419.975093750  0.060913097
1419.977437500  0.061018375
1419.979781250  0.061022997
1419.982125000  0.061097499
1419.984468750  0.061094417
1419.986812500  0.061209457
1419.989156250  0.061309975
1419.991500000  0.061685575
1419.993843750  0.061416414
1419.996187500  0.061216579
1419.998531250  0.061076483
1420.000875000  0.061171685
1420.003218750  0.061192387
1420.005562500  0.061357633
1420.007906250  0.061397690
1420.010250000  0.061294879
1420.012593750  0.061365227
1420.014937500  0.061412893
1420.017281250  0.061372147
1420.019625000  0.061506785
1420.021968750  0.061664211
1420.024312500  0.064223963
1420.026656250  0.061663460
1420.029000000  0.061464282
1420.031343750  0.061517113
1420.033687500  0.061670458
1420.036031250  0.061760499
1420.038375000  0.061821866
1420.040718750  0.061631008
1420.043062500  0.061636064
1420.045406250  0.061722864
1420.047750000  0.061741057
1420.050093750  0.061718625
1420.052437500  0.061788528
1420.054781250  0.062672285
1420.057125000  0.061804515
1420.059468750  0.061669420
1420.061812500  0.061658402
1420.064156250  0.061622442
1420.066500000  0.061734798
1420.068843750  0.061765480
1420.071187500  0.061800836
1420.073531250  0.061865485
1420.075875000  0.061781847
1420.078218750  0.061793176
1420.080562500  0.061870357
1420.082906250  0.061843514
1420.085250000  0.061950952
1420.087593750  0.062037170
1420.089937500  0.061824408
1420.092281250  0.061752403
1420.094625000  0.061940895
1420.096968750  0.061778395
1420.099312500  0.061752207
1420.101656250  0.061887857
1420.104000000  0.060361924
1420.106343750  0.061794037
1420.108687500  0.061886644
1420.111031250  0.062107364
1420.113375000  0.061932253
1420.115718750  0.061958021
1420.118062500  0.064860595
1420.120406250  0.061947264
1420.122750000  0.061879942
1420.125093750  0.061799350
1420.127437500  0.061782864
1420.129781250  0.061809707
1420.132125000  0.062127915
1420.134468750  0.061789400
1420.136812500  0.061790689
1420.139156250  0.061874040
1420.141500000  0.061836534
1420.143843750  0.061927718
1420.146187500  0.061874043
1420.148531250  0.062943431
1420.150875000  0.062261985
1420.153218750  0.061727320
1420.155562500  0.061671699
1420.157906250  0.061633937
1420.160250000  0.061683796
1420.162593750  0.061710757
1420.164937500  0.061623756
1420.167281250  0.061617736
1420.169625000  0.061621323
1420.171968750  0.061634544
1420.174312500  0.061581077
1420.176656250  0.061638727
1420.179000000  0.061616115
1420.181343750  0.061639054
1420.183687500  0.061589221
1420.186031250  0.061443355
1420.188375000  0.061483548
1420.190718750  0.061320432
1420.193062500  0.061312815
1420.195406250  0.061341410
1420.197750000  0.061387909
1420.200093750  0.061338056
1420.202437500  0.061238410
1420.204781250  0.061232763
1420.207125000  0.061291175
1420.209468750  0.061409392
1420.211812500  0.063926648
1420.214156250  0.061368978
1420.216500000  0.061265994
1420.218843750  0.061090769
1420.221187500  0.061076814
1420.223531250  0.060993234
1420.225875000  0.061306731
1420.228218750  0.060959773
1420.230562500  0.060860983
1420.232906250  0.060942300
1420.235250000  0.060918601
1420.237593750  0.060958424
1420.239937500  0.060934475
1420.242281250  0.061567278
1420.244625000  0.061620258
1420.246968750  0.060888177
1420.249312500  0.060632228
1420.251656250  0.060510936
1420.254000000  0.060575758
1420.256343750  0.060676998
1420.258687500  0.060556523
1420.261031250  0.060334118
1420.263375000  0.060311812
1420.265718750  0.060390611
1420.268062500  0.060282674
1420.270406250  0.060256589
1420.272750000  0.060220966
1420.275093750  0.060472822
1420.277437500  0.060263088
1420.279781250  0.060064925
1420.282125000  0.059975495
1420.284468750  0.060060841
1420.286812500  0.060002832
1420.289156250  0.059924935
1420.291500000  0.059989927
1420.293843750  0.059819401
1420.296187500  0.059916650
1420.298531250  0.059750458
1420.300875000  0.059776043
1420.303218750  0.059914598
1420.305562500  0.062345332
1420.307906250  0.060372101
1420.310250000  0.059777382
1420.312593750  0.059685412
1420.314937500  0.059578566
1420.317281250  0.059411434
1420.319625000  0.059749583
1420.321968750  0.059375778
1420.324312500  0.059314239
1420.326656250  0.059163167
1420.329000000  0.059153389
1420.331343750  0.059154854
1420.333687500  0.059321699
1420.336031250  0.059435527
1420.338375000  0.060308656
1420.340718750  0.059172812
1420.343062500  0.059041755
1420.345406250  0.058994481
1420.347750000  0.058913050
1420.350093750  0.058907640
